-1.8  -1.7  -1.6  -1.5  -1.4  -1.3  -1.2  -1.1  -1  -0.9  -0.8  -0.7  -0.6  -0.5  -0.4  -0.3  -0.2  -0.1  0  0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1  1.1  1.2  1.3  1.4  1.5  1.6  1.7  1.8  
5  5  5  5  5  5  5  4  4  4  4  4  4  4  3  3  3  3  4  4  4  4  4  4  4  4  4  4  4  3  4  4  4  5  5  5  6  
-1.8  -1.7  -1.6  -1.5  -1.4  -1.3  -1.2  -1.1  -1  -0.9  -0.8  -0.7  -0.6  -0.5  -0.4  -0.3  -0.2  -0.1  0  0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1  1.1  1.2  1.3  1.4  1.5  1.6  1.7  1.8  
5  5  5  5  5  5  5  4  4  4  4  4  4  4  3  3  3  3  4  4  4  4  4  4  4  4  4  4  4  3  4  4  4  5  5  5  6  
