-2.4  -2.3  -2.2  -2.1  -2  1.9  2.3  2.4  2.5  2.6  2.7  2.8  2.9  3  3.1  3.2  3.3  3.4  3.5  3.6  3.7  3.8  3.9  4  4.1  4.2  4.3  4.4  4.5  4.6  4.7  4.8  4.9  5  
40  15  9  6  7  7  29  12  9  8  7  6  6  5  5  4  4  3  3  4  4  5  5  5  5  5  5  6  6  6  6  6  6  6  
-2.4  -2.3  -2.2  -2.1  -2  1.9  2.3  2.4  2.5  2.6  2.7  2.8  2.9  3  3.1  3.2  3.3  3.4  3.5  3.6  3.7  3.8  3.9  4  4.1  4.2  4.3  4.4  4.5  4.6  4.7  4.8  4.9  5  
40  15  9  6  7  7  29  12  9  8  7  6  6  5  5  4  4  3  3  4  4  5  5  5  5  5  5  6  6  6  6  6  6  6  
